,jacc_distance
225,0.4
226,0.29166666666666663
227,0.2222222222222222
228,0.6
229,0.4375
230,1.0
231,0.33333333333333337
232,0.17647058823529416
233,0.38095238095238093
234,0.5
235,0.47619047619047616
236,0.3157894736842105
237,0.3529411764705882
238,0.5909090909090908
239,0.6666666666666667
240,0.35
241,0.40909090909090906
242,0.33333333333333337
243,0.7222222222222222
244,0.5
245,0.9230769230769231
246,0.4736842105263158
247,0.29166666666666663
248,0.6363636363636364
249,0.5333333333333333
250,0.29166666666666663
251,0.4285714285714286
252,0.25
253,0.5
254,0.47058823529411764
255,0.2857142857142857
256,0.33333333333333337
257,0.5
258,0.17647058823529416
259,0.3913043478260869
260,1.0
261,0.5333333333333333
262,0.4285714285714286
263,0.17647058823529416
264,0.6
265,0.368421052631579
266,0.16666666666666663
267,0.11111111111111116
268,0.052631578947368474
269,0.4347826086956522
270,0.4
271,0.631578947368421
272,0.33333333333333337
273,0.2666666666666667
274,0.36363636363636365
275,0.11111111111111116
276,1.0
277,0.47058823529411764
278,0.4285714285714286
279,0.4285714285714286
280,0.5
281,0.33333333333333337
282,0.5
283,0.5833333333333333
284,0.4
285,0.6
286,0.5555555555555556
287,0.4444444444444444
288,0.2857142857142857
289,0.4285714285714286
290,0.23529411764705888
291,0.8888888888888888
292,0.4375
293,0.2857142857142857
294,0.30000000000000004
295,0.11111111111111116
296,0.5416666666666667
297,0.6666666666666667
298,0.4347826086956522
299,0.5416666666666667
300,0.7222222222222222
301,0.4444444444444444
302,0.4117647058823529
303,0.5333333333333333
304,0.6086956521739131
305,0.4285714285714286
306,0.4285714285714286
307,0.5
308,0.9230769230769231
309,0.6
310,0.8333333333333334
311,0.4444444444444444
312,0.5
313,0.25
314,0.5
315,0.5238095238095238
316,0.5
317,1.0
318,0.368421052631579
319,0.5238095238095238
320,0.29166666666666663
321,0.6086956521739131
322,0.3125
323,0.30000000000000004
324,0.5333333333333333
325,0.36363636363636365
326,0.9
327,0.7222222222222222
328,0.5
329,1.0
330,1.0
331,0.29166666666666663
332,0.36363636363636365
333,0.9
334,0.30000000000000004
335,0.13636363636363635
336,0.25
337,0.6956521739130435
338,0.52
339,0.5454545454545454
340,0.3529411764705882
341,0.5
342,0.5
343,0.4375
344,0.7222222222222222
345,0.33333333333333337
346,0.4
347,0.368421052631579
348,0.55
349,0.6363636363636364
350,0.6363636363636364
351,1.0
352,0.4285714285714286
353,0.2857142857142857
354,0.30434782608695654
355,0.31818181818181823
356,0.23529411764705888
357,0.3157894736842105
358,1.0
359,0.4285714285714286
360,1.0
361,0.5555555555555556
362,1.0
363,0.6428571428571428
364,1.0
365,0.4444444444444444
366,0.5333333333333333
367,0.30000000000000004
368,0.4
369,1.0
370,0.4285714285714286
371,0.4666666666666667
372,0.19999999999999996
373,0.5555555555555556
374,0.25
375,0.4666666666666667
376,0.8
377,1.0
378,0.8333333333333334
379,0.30000000000000004
380,0.33333333333333337
381,0.4285714285714286
382,0.3125
383,0.2727272727272727
384,0.6
385,0.3125
386,0.29166666666666663
387,0.38095238095238093
388,0.3846153846153846
389,0.2857142857142857
390,0.3529411764705882
391,0.7222222222222222
392,0.4444444444444444
393,1.0
394,0.7142857142857143
395,1.0
396,0.55
397,0.4444444444444444
398,0.09999999999999998
399,0.5789473684210527
400,0.4
401,1.0
402,0.4285714285714286
403,0.5555555555555556
404,0.33333333333333337
405,0.29166666666666663
406,0.4545454545454546
407,1.0
408,1.0
409,1.0
410,0.4375
411,0.6428571428571428
412,0.3846153846153846
413,0.52
414,0.4285714285714286
415,0.33333333333333337
416,0.2857142857142857
417,0.6086956521739131
418,0.2857142857142857
419,0.5555555555555556
420,0.7142857142857143
421,0.5555555555555556
422,0.2857142857142857
423,0.5
424,0.33333333333333337
425,0.23809523809523814
426,1.0
427,1.0
428,0.5555555555555556
429,0.33333333333333337
430,0.4
431,1.0
432,0.368421052631579
433,1.0
434,0.5
435,0.5384615384615384
436,0.5714285714285714
437,0.5
438,0.5
439,0.38888888888888884
440,0.9230769230769231
441,1.0
442,0.9
443,0.3125
444,0.9
445,0.26315789473684215
446,0.4285714285714286
447,1.0
448,0.6363636363636364
449,0.6086956521739131
450,0.35
451,0.125
452,0.1875
453,0.3913043478260869
454,0.55
455,0.46153846153846156
456,0.4
457,0.31818181818181823
458,0.5
