,jaccard
337,0.6956521739130435
338,0.52
339,0.5454545454545454
340,0.35294117647058826
341,0.5
342,0.5
343,0.35294117647058826
344,0.7222222222222222
345,0.25
346,0.4
347,0.3684210526315789
348,0.55
349,0.6363636363636364
350,0.6363636363636364
351,1.0
352,0.42857142857142855
353,0.2
354,0.30434782608695654
355,0.2608695652173913
356,0.16666666666666666
357,0.3157894736842105
358,1.0
359,0.3333333333333333
360,1.0
361,0.4
362,1.0
363,0.5333333333333333
364,1.0
365,0.3684210526315789
366,0.5
367,0.3
368,0.4
369,1.0
370,0.42857142857142855
371,0.4375
372,0.2
373,0.4
374,0.25
375,0.375
376,0.8
377,1.0
378,0.8333333333333334
379,0.3
380,0.3333333333333333
381,0.42857142857142855
382,0.23529411764705882
383,0.4
384,0.6
385,0.23529411764705882
386,0.2916666666666667
387,0.38095238095238093
388,0.2857142857142857
389,0.2857142857142857
390,0.35294117647058826
391,0.7222222222222222
392,0.4444444444444444
393,0.7142857142857143
394,0.6
395,1.0
396,0.55
397,0.4444444444444444
398,0.09523809523809523
399,0.5
400,0.4
401,1.0
402,0.42857142857142855
403,0.5555555555555556
404,0.25
405,0.2916666666666667
406,0.45454545454545453
407,1.0
408,1.0
409,0.75
410,0.35294117647058826
411,0.6
412,0.2857142857142857
413,0.52
414,0.6666666666666666
415,0.3333333333333333
416,0.2857142857142857
417,0.6086956521739131
418,0.2857142857142857
419,0.5555555555555556
420,0.7142857142857143
421,0.5555555555555556
422,0.22727272727272727
423,0.5
424,0.3333333333333333
425,0.23809523809523808
426,1.0
427,1.0
428,0.5555555555555556
429,0.3333333333333333
430,0.3333333333333333
431,1.0
432,0.3684210526315789
433,1.0
434,0.5
435,0.5384615384615384
436,0.5714285714285714
437,0.5
438,0.38461538461538464
439,0.3157894736842105
440,0.7857142857142857
441,1.0
442,0.9
443,0.23529411764705882
444,0.9
445,0.2631578947368421
446,0.42857142857142855
447,1.0
448,0.6363636363636364
449,0.6086956521739131
450,0.35
451,0.2
452,0.1875
453,0.391304347826087
454,0.55
455,0.35714285714285715
456,0.4
457,0.3181818181818182
458,0.5
